Year,Value,Units,Series
2011,9.6,percentage,change in water-use efficiency
2012,7.9,percentage,change in water-use efficiency
2013,7.4,percentage,change in water-use efficiency
2014,2.8,percentage,change in water-use efficiency
2015,7.2,percentage,change in water-use efficiency
2016,6.1,percentage,change in water-use efficiency
2017,12.3,percentage,change in water-use efficiency
2018,6.2,percentage,change in water-use efficiency
2019,7.8,percentage,change in water-use efficiency
2010,63.3,euro per m³,water-use efficiency
2011,69.4,euro per m³,water-use efficiency
2012,74.9,euro per m³,water-use efficiency
2013,80.4,euro per m³,water-use efficiency
2014,82.7,euro per m³,water-use efficiency
2015,88.7,euro per m³,water-use efficiency
2016,94.0,euro per m³,water-use efficiency
2017,105.6,euro per m³,water-use efficiency
2018,112.2,euro per m³,water-use efficiency
2019,120.9,euro per m³,water-use efficiency
