Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,0.99
2011,,,,1.04
2012,,,,0.92
2013,,,,0.95
2014,,,,1.02
2015,|,,,4.93
2016,,,,4.47
2017,|,,,4.55
2018,,,,5.79
2019,|,,,11.12
2020,,,,8.63
2021,,,,10.73
2022,r,,,20.74
2023,r,,,28.08
2024,,,,26.49
