Year,Units,Time series,Mode of transport,Value
2010,Million tonne-kilometres,Freight transport,Pipelines: crude oil,16259
2011,Million tonne-kilometres,Freight transport,Pipelines: crude oil,15623
2012,Million tonne-kilometres,Freight transport,Pipelines: crude oil,16207
2013,Million tonne-kilometres,Freight transport,Pipelines: crude oil,18180
2014,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17541
2015,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17714
2016,Million tonne-kilometres,Freight transport,Pipelines: crude oil,18761
2017,Million tonne-kilometres,Freight transport,Pipelines: crude oil,18239
2018,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17234
2019,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17649
2020,Million tonne-kilometres,Freight transport,Pipelines: crude oil,16686
