Year,Aktivitäten,Altersklasse,Value
2013,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,
2014,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,
2015,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,32.0
2016,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,31.0
2017,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,33.0
2018,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,
2019,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,33.0
2010,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,
2011,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,94.0
2012,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,87.0
2013,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,
2014,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,94.0
2015,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,87.0
2016,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,86.0
2017,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,84.0
2018,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,
2019,Kopieren oder Verschieben von Dateien und Ordnern,16 bis unter 25 Jahre,82.0
2010,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",16 bis unter 25 Jahre,
2011,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",16 bis unter 25 Jahre,92.0
