From,To
Type of violence,Sex
Type of violence,Age group
Type of violence,Type of physical violence
Type of violence,Type of psychological violence
Type of violence,Type of sexual violence
Type of violence,COMMENT_OBS_0
COMMENT_OBS_0,COMMENT_OBS_1
