Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,r,,,0.002784
2012,r,,,0.003528
2013,r,,,0.003094
2014,r,,,0.002166
2015,r,,,0.003385
2016,r,,,0.002891
2017,r,,,0.004002
2018,r,,,0.005774
2019,r,,,0.003741
2020,r,,,0.00335
2021,p,,,0.003389
2022,p,,,0.004295
