Value,Disaggregation combinations using this value,Number of indicators
baden-württemberg,10,8
bavaria,10,8
berlin,10,8
brandenburg,10,8
bremen,10,8
germany,4,2
hamburg,10,8
hesse,10,8
lower saxony,10,8
mecklenburg western pomerania,10,8
north rhine-westphalia,10,8
rhineland palatinate,10,8
saarland,10,8
saxony-anhalt,10,8
saxony,10,8
schleswig-holstein,10,8
thuringia,10,8
