Value,Disaggregation combinations using this value,Number of indicators
baden-wuerttemberg,7,6
bavaria,7,6
berlin,7,6
brandenburg,7,6
bremen,7,6
germany,2,1
hamburg,7,6
hesse,7,6
lower saxony,7,6
mecklenburg western pomerania,7,6
north rhine-westphalia,7,6
rhineland palatinate,7,6
saarland,7,6
saxony-anhalt,7,6
saxony,7,6
schleswig-holstein,7,6
thuringia,7,6
