Indicator,Disaggregation combinations using this value
#11-6-1,1
#16-5-1,1
#16-9-1,1
#17-19-2,2
#2-4-1,1
#3-3-1,3
#3-5-1,2
#4-a-1,4
#6-3-1,1
#6-4-1,8
#7-1-2,1
