Indicator,Disaggregation combinations using this value
#1-2-1,2
#1-2-2,10
#10-2-1,2
#11-1-1,11
#11-2-1,1
#11-7-2,24
#16-1-1,12
#16-1-3,8
#16-1-4,20
#16-2-1,6
#16-2-2,3
#16-3-1,4
#16-3-2,2
#16-5-1,2
#16-7-2,2
#17-8-1,2
#2-1-1,7
#2-2-1,1
#2-2-2,2
#3-3-1,2
#3-5-1,2
#3-9-2,4
#3-a-1,1
#3-b-1,2
#4-1-2,8
#4-2-2,2
#4-3-1,24
#5-4-1,109
#8-5-1,1
#8-5-2,6
#8-6-1,3
#8-7-1,3
#8-8-1,2
#9-2-2,2
