Indicator,Disaggregation combinations using this value
#1-a-2,3
#1-b-1,1
#10-4-1,1
#11-4-1,2
#12-2-1,3
#12-2-2,1
#12-a-1,1
#14-3-1,1
#14-7-1,1
#15-a-1,1
#16-1-3,1
#16-7-1,5
#17-1-1,1
#17-1-2,2
#17-13-1,12
#17-2-1,2
#17-7-1,3
#2-3-1,2
#2-a-1,1
#3-6-1,1
#4-1-2,6
#4-3-1,12
#4-5-1,4
#7-3-1,2
#7-b-1,1
#8-1-1,1
#8-2-1,1
#8-4-1,3
#8-4-2,1
#9-1-1,1
#9-1-2,6
#9-2-1,3
#9-2-2,1
#9-4-1,2
#9-5-2,1
