Indicator,Disaggregation combinations using this value
#1-a-1,2
#11-c-1,20
#17-19-1,2
#17-9-1,4
#2-a-2,4
#3-b-2,2
#4-b-1,4
#6-a-1,2
#7-a-1,4
#8-a-1,2
