Value,Disaggregation combinations using this value,Number of indicators
(1) migrant rights,1,1
(2) whole-of-government/evidence-based policies,1,1
(3) cooperation and partnerships,1,1
(4) socioeconomic well-being,1,1
(5) mobility dimensions of crises,1,1
"(6) safe, orderly and regular migration",1,1
