Value,Disaggregation combinations using this value,Number of indicators
oda (net disbursements),3,1
officially supported export credits (net disbursements),3,1
oof (net disbursements),3,1
private concessional flows (net disbursements),3,1
private sector flows at market terms (net disbursement),3,1
