Value,Disaggregation combinations using this value,Number of indicators
class 3 areas (elevation 2500-3500 meters),1,1
class 4 areas (elevation 1500-2500 meters),1,1
class 5 areas (elevation 1000-1500 meters),1,1
class 6 areas (elevation  300-1000 meters),1,1
