Indicator,Disaggregation combinations using this value
#1-2-2,5
#1-3-1,1
#10-3-1,1
#10-7-3,1
#11-1-1,6
#11-2-1,17
#11-3-1,1
#12-4-2,6
#12-c-1,6
#13-2-2,5
#13-a-1,1
#14-1-1,1
#14-3-1,1
#14-6-1,1
#14-7-1,1
#14-b-1,1
#14-c-1,2
#15-2-1,1
#15-9-1,1
#16-1-1,10
#16-1-3,20
#16-1-4,41
#16-10-2,1
#16-2-1,8
#16-2-2,3
#16-3-3,4
#16-5-1,3
#16-5-2,1
#16-6-1,9
#16-6-2,1
#16-7-2,4
#16-b-1,1
#17-18-1,42
#17-18-2,1
#2-2-2,2
#2-4-1,17
#2-5-1,2
#2-5-2,7
#3-3-1,2
#3-3-5,1
#3-5-2,2
#3-8-2,2
#3-b-1,5
#3-c-1,1
#3-d-1,1
#4-1-1,4
#4-1-2,6
#4-4-1,24
#5-2-1,2
#5-2-2,2
#5-3-2,1
#5-5-2,1
#5-a-1,5
#5-a-2,1
#5-b-1,1
#6-1-1,1
#6-3-1,4
#6-4-1,4
#6-4-2,2
#8-10-2,2
#8-9-1,1
#9-b-1,3
#9-c-1,33
