Value,Disaggregation combinations using this value,Number of indicators
afghanistan,2,1
germany,2,2
iran,2,1
iraq,2,1
multiple citizenships,2,2
not classified,2,2
other country outside eu,2,2
other country within eu,2,2
russian federation,2,1
syria,2,1
turkey,2,1
