Value,Disaggregation combinations using this value,Number of indicators
"a) agriculture, forestry and fishing (nace rev 2, section a)",1,1
agriculture,1,1
"b) mimec (nace rev 2, sections b, c, d, f)",1,1
"c) services (nace rev 2, sections e, g to t)",1,1
forestry,1,1
