Value,Disaggregation combinations using this value,Number of indicators
baden-württemberg,11,7
bavaria,11,7
berlin,11,7
brandenburg,11,7
bremen,11,7
germany,4,2
hamburg,11,7
hesse,11,7
lower saxony,11,7
mecklenburg western pomerania,11,7
north rhine-westphalia,11,7
rhineland palatinate,11,7
saarland,11,7
saxony-anhalt,11,7
saxony,11,7
schleswig-holstein,11,7
thuringia,11,7
