Indicator
#1-2-1
#1-2-2
#10-2-1
#10-3-1
#11-2-1
#11-7-2
#16-1-1
#16-1-3
#16-2-2
#16-b-1
#17-8-1
#2-2-3
#3-2-1
#4-3-1
#4-4-1
#5-3-1
#5-4-1
#8-5-2
#8-7-1
