Value,Disaggregation combinations using this value,Number of indicators
"connecting and installing new devices, eg a printer or a modem",4,1
copying or moving of files and folders,4,1
"creating files integrating elements such as text, pictures, tables, charts, animations or sound",4,1
installing software or apps,6,1
transferring files between computer and other devices,6,1
using copy or cut and paste tools to duplicate or move information on screen,4,1
"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",6,1
writing code in a programming language,6,1
