Value,Disaggregation combinations using this value,Number of indicators
4.2.2 (5 years),1,1
4.3.1 (15 to under 25 years),3,1
4.3.1 (15 to under 65 years),3,1
4.3.1 (25 to under 55 years),4,1
4.3.1 (55 to under 65 years),3,1
