Value,Disaggregation combinations using this value,Number of indicators
exposure to excessive natural cold,3,3
exposure to excessive natural heat,3,3
exposure to other and unspecified forces of nature,3,3
exposure to sunlight,3,3
"victim of avalanche, landslide and other earth movements",3,3
victim of cataclysmic storm,3,3
victim of earthquake,3,3
victim of flood,3,3
victim of lightning,3,3
victim of volcanic eruption,3,3
