Value,Disaggregation combinations using this value,Number of indicators
commercial company,6,1
gene bank,5,1
increase project,4,1
individual,2,1
national agricultural research centre,6,1
non-governmental organization,3,1
other,6,1
regional organization,3,1
university,3,1
unknown,2,1
