Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,s,,,100
2011,s,,,100
2012,s,,,100
2013,s,,,100
2014,s,,,100
2015,s,,,100
2016,s,,,100
2017,s,,,100
2018,s,,,100
2019,s,,,100
2020,s,,,100
2021,s,,,100
2022,s,,,100
2023,s,,,100
2024,s,,,100
2025,s,,,100
