Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,r,,,0.98
2011,,,,1.04
2012,r,,,0.94
2013,r,,,0.97
2014,r,,,1.05
2015,|,r,,5.0
2016,r,,,4.59
2017,|,r,,4.65
2018,r,,,5.99
2019,|,,,11.32
2020,r,,,8.8
2021,r,,,10.98
2022,r,,,21.02
2023,r,,,28.47
2024,r,,,27.1
2025,p,,,20.99
