Year,Units,Sektor,type of financial flow,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,official development assistance,gross disbursements,,,,325.772
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,official development assistance,gross disbursements,,,,178.763
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,official development assistance,gross disbursements,,,,142.07
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,official development assistance,gross disbursements,,,,134.11
2010,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2011,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2012,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2013,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2014,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2015,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2016,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2017,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2018,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2019,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,,,,45.262
2020,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,,,,103.785
2021,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2022,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,,,,54.668
2023,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2024,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,commitments,.,,,
2010,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2011,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2012,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2013,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2014,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2015,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2016,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2017,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2018,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,,,,97.639
2019,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,,,,68.919
2020,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,,,,24.535
2021,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,,,,49.928
2022,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,,,,46.996
2023,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,,,,10.798
2024,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,commitments,.,,,
2010,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2011,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2012,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2013,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2014,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2015,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2016,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2017,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2018,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,,,,26.521
2019,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,,,,37.054
2020,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,,,,28.915
2021,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,,,,26.363
2022,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,,,,60.407
2023,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2024,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,commitments,.,,,
2010,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2011,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2012,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2013,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2014,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2015,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2016,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2017,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2018,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,,,,208.3
2019,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,,,,193.815
2020,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,,,,122.965
2021,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,,,,113.356
2022,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,,,,210.515
2023,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,,,,223.032
2024,"Millionen USD, konstante Preise (2024)",Energie,other official flows,commitments,.,,,
2010,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2011,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2012,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2013,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2014,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2015,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2016,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2017,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2018,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2019,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2020,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,commitments,.,,,
2010,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2011,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2012,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2013,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2014,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2015,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,,,,11.363
2016,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,,,,8.005
2017,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2018,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2019,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,,,,45.262
2020,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,,,,103.785
2021,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2022,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,,,,54.668
2023,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2024,"Millionen USD, konstante Preise (2024)",water supply and sanitation,other official flows,gross disbursements,.,,,
2010,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,201.883
2011,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,.,,,
2012,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,118.668
2013,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,72.711
2014,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,13.777
2015,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,.,,,
2016,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,.,,,
2017,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,.,,,
2018,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,97.639
2019,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,68.919
2020,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,24.535
2021,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,49.928
2022,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,46.996
2023,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,,,,4.953
2024,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,other official flows,gross disbursements,.,,,
2010,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2011,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2012,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2013,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2014,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2015,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2016,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2017,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2018,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,,,,26.521
2019,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,,,,37.054
2020,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,,,,28.915
2021,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,,,,26.363
2022,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,,,,60.407
2023,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2024,"Millionen USD, konstante Preise (2024)",Kommunikation,other official flows,gross disbursements,.,,,
2010,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2011,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2012,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2013,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2014,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2015,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2016,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2017,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,.,,,
2018,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,208.3
2019,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,193.815
2020,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,122.965
2021,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,113.356
2022,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,210.515
2023,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,32.606
2024,"Millionen USD, konstante Preise (2024)",Energie,other official flows,gross disbursements,,,,152.536
2010,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2011,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2012,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2013,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2014,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2015,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2016,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2017,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2018,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2019,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2020,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,other official flows,gross disbursements,.,,,
