Year,Units,Value
2010,Percentage (%),2.73
2011,Percentage (%),2.81
2012,Percentage (%),2.88
2013,Percentage (%),2.84
2014,Percentage (%),2.93
2015,Percentage (%),2.93
2016,Percentage (%),2.94
2017,Percentage (%),3.07
2018,Percentage (%),3.13
