Year,Value,Units
2010,0.48,Percentage
2011,0.47,Percentage
2012,0.5,Percentage
2013,0.51,Percentage
2014,0.57,Percentage
2015,0.67,Percentage
2016,1.05,Percentage
2017,1.39,Percentage
2018,1.55,Percentage
2019,1.64,Percentage
2020,1.68,Percentage
2021,1.74,Percentage
2010,382325.0,Number
2011,373875.0,Number
2012,399050.0,Number
2013,410570.0,Number
2014,460140.0,Number
2015,547935.0,Number
2016,867500.0,Number
2017,1154365.0,Number
2018,1283225.0,Number
2019,1360070.0,Number
2020,1397685.0,Number
2021,1451375.0,Number
