Year,Value
2010,98.373
2011,98.419
2012,98.547
2013,98.537
2014,98.565
2015,98.761
2016,97.768
2017,98.773
2018,97.847
2019,97.734
2020,97.833
2021,97.695
2022,97.983
2023,97.778
2024,97.947
