Year,Value
2010,29.8
2011,30.3
2012,29.2
2013,29.2
2014,29.0
2015,29.4
2016,29.9
2017,29.2
2018,28.9
2019,29.2
2021,25.0
2022,26.4
2023,26.6
2024,28.6
