Year,Value,Units
2018,22965.0,Number
2019,22236.0,Number
2020,21994.0,Number
2021,22095.0,Number
2022,27757.0,Number
2023,28890.0,Number
2024,30147.0,Number
2025,30204.0,Number
2025,82.36,"Per 100,000 female inhabitants"
2018,0.06,Percentage
2019,0.06,Percentage
2020,0.06,Percentage
2021,0.06,Percentage
2022,0.08,Percentage
2023,0.08,Percentage
2024,0.08,Percentage
2025,0.08,Percentage
