Year,Value,Series
2010,18.949,Water withdrawal
2011,17.509,Water withdrawal
2012,15.956,Water withdrawal
2013,15.188,Water withdrawal
2014,15.214,Water withdrawal
2015,14.56,Water withdrawal
2016,14.464,Water withdrawal
2017,13.374,Water withdrawal
2018,13.333,Water withdrawal
2019,12.993,Water withdrawal
2020,13.225,Water withdrawal
2021,12.097,Water withdrawal
2022,11.723,Water withdrawal
