Year,Value,Units
2010,4,Number
2011,3,Number
2012,0,Number
2013,0,Number
2014,1,Number
2015,0,Number
2016,2,Number
2017,1,Number
2018,3,Number
2019,2,Number
2020,2,Number
2010,16496964,EUR
2011,21853518,EUR
2012,0,EUR
2013,0,EUR
2014,100000,EUR
2015,0,EUR
2016,2820800,EUR
2017,2250000,EUR
2018,42913917,EUR
2019,59797152,EUR
2020,14496867,EUR
