Year,Value
2010,0.2
2011,0.1
2012,0.2
2013,0.2
2014,0.1
2015,0.2
2016,0.1
2017,0.2
2018,0.2
2019,0.2
2020,0.1
2021,0.4
2022,0.3
2023,0.3
