Year,Value
2010,34.5
2011,26.5
2012,39.1
2013,37.6
2014,33.9
2015,34.6
2016,32.4
2017,30.4
2018,36.9
2019,29.0
2020,28.8
2021,30.5
2022,25.4
2023,37.0
2024,29.9
