Year,Value,Units,Series
2010,49237,"1,000 tonnes",Municipal solid waste in total
2011,50237,"1,000 tonnes",Municipal solid waste in total
2012,49759,"1,000 tonnes",Municipal solid waste in total
2013,49570,"1,000 tonnes",Municipal solid waste in total
2014,51102,"1,000 tonnes",Municipal solid waste in total
2015,51625,"1,000 tonnes",Municipal solid waste in total
2016,52133,"1,000 tonnes",Municipal solid waste in total
2017,51790,"1,000 tonnes",Municipal solid waste in total
2018,50260,"1,000 tonnes",Municipal solid waste in total
2019,50643,"1,000 tonnes",Municipal solid waste in total
2020,50993,"1,000 tonnes",Municipal solid waste in total
2021,51793,"1,000 tonnes",Municipal solid waste in total
2022,48559,"1,000 tonnes",Municipal solid waste in total
2023,48860,"1,000 tonnes",Municipal solid waste in total
