Year,Value,Units
2010,5.4,Megajoule per EUR
2011,4.9,Megajoule per EUR
2012,4.9,Megajoule per EUR
2014,4.4,Megajoule per EUR
2015,4.3,Megajoule per EUR
2016,4.2,Megajoule per EUR
2017,4.1,Megajoule per EUR
2018,3.8,Megajoule per EUR
2019,3.6,Megajoule per EUR
2021,3.4,Megajoule per EUR
2010,132.9,2020 = 100
2012,122.9,2020 = 100
2014,116.4,2020 = 100
2015,115.7,2020 = 100
2018,107.4,2020 = 100
2019,103.3,2020 = 100
2020,100.0,2020 = 100
2021,100.9,2020 = 100
