Year,Value,Units,Series
2010,,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2011,,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2012,,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2013,113.0,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2014,112.2,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2015,83.25,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2016,60.5,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2017,63.0,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2018,62.0,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2019,57.0,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2020,55.5,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2021,43.5,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2022,57.5,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2023,45.5,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2010,61.6,Percentage,Plastic particles in fulmar stomachs
2011,61.4,Percentage,Plastic particles in fulmar stomachs
2012,56.6,Percentage,Plastic particles in fulmar stomachs
2013,56.4,Percentage,Plastic particles in fulmar stomachs
2014,59.5,Percentage,Plastic particles in fulmar stomachs
2015,59.0,Percentage,Plastic particles in fulmar stomachs
2016,59.1,Percentage,Plastic particles in fulmar stomachs
2017,58.9,Percentage,Plastic particles in fulmar stomachs
2018,55.8,Percentage,Plastic particles in fulmar stomachs
2019,51.2,Percentage,Plastic particles in fulmar stomachs
2020,50.0,Percentage,Plastic particles in fulmar stomachs
2021,48.5,Percentage,Plastic particles in fulmar stomachs
