Year,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,16 to under 66 years,,,,82.5
2023,16 to under 66 years,,,,77.5
2012,16 to under 25 years,,,,86.9
2023,16 to under 25 years,,,,84.7
2012,25 to under 65 years,,,,81.9
2023,25 to under 65 years,,,,76.7
