Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,50.5
2011,r,,,50.2
2012,,,,51.2
2013,,,,51.5
2014,,,,51.5
2015,,,,51.8
2016,r,,,52.0
2017,,,,52.1
2018,r,,,53.0
2019,,,,53.8
2020,,,,55.1
2021,,,,53.5
2022,p,,,52.3
2023,p,,,53.0
2024,p,,,54.5
