Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,,,,4
2011,number,,,,3
2012,number,‒,,,0
2013,number,‒,,,0
2014,number,,,,1
2015,number,‒,,,0
2016,number,,,,2
2017,number,,,,1
2018,number,,,,3
2019,number,,,,2
2020,number,,,,2
2021,number,‒,,,0
2022,number,,,,1
2023,number,‒,,,0
2010,eur,,,,16496964
2011,eur,,,,21853518
2012,eur,‒,,,0
2013,eur,‒,,,0
2014,eur,,,,100000
2015,eur,-,,,0
2016,eur,,,,2820800
2017,eur,,,,2250000
2018,eur,,,,42913917
2019,eur,,,,59797152
2020,eur,,,,14496867
2021,eur,‒,,,0
2022,eur,,,,48424007
2023,eur,‒,,,0
