Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,million tonnes,,,,domestic material consumption (dmc),1228.0
2011,million tonnes,,,,domestic material consumption (dmc),1311.0
2012,million tonnes,,,,domestic material consumption (dmc),1265.0
2013,million tonnes,,,,domestic material consumption (dmc),1267.0
2014,million tonnes,,,,domestic material consumption (dmc),1289.0
2015,million tonnes,,,,domestic material consumption (dmc),1248.0
2016,million tonnes,,,,domestic material consumption (dmc),1264.0
2017,million tonnes,,,,domestic material consumption (dmc),1279.0
2018,million tonnes,,,,domestic material consumption (dmc),1231.0
2019,million tonnes,,,,domestic material consumption (dmc),1190.0
2020,million tonnes,,,,domestic material consumption (dmc),1157.0
2021,million tonnes,,,,domestic material consumption (dmc),1187.0
2022,million tonnes,,,,domestic material consumption (dmc),1141.0
2023,million tonnes,,,,domestic material consumption (dmc),1025.0
2024,million tonnes,,,,domestic material consumption (dmc),984.0
2010,tonnes per capita,r,,,domestic material consumption (dmc),15.3
2011,tonnes per capita,,,,domestic material consumption (dmc),16.3
2012,tonnes per capita,,,,domestic material consumption (dmc),15.7
2013,tonnes per capita,,,,domestic material consumption (dmc),15.7
2014,tonnes per capita,,,,domestic material consumption (dmc),16.0
2015,tonnes per capita,,,,domestic material consumption (dmc),15.3
2016,tonnes per capita,,,,domestic material consumption (dmc),15.4
2017,tonnes per capita,,,,domestic material consumption (dmc),15.6
2018,tonnes per capita,,,,domestic material consumption (dmc),15.0
2019,tonnes per capita,,,,domestic material consumption (dmc),14.5
2020,tonnes per capita,,,,domestic material consumption (dmc),14.1
2021,tonnes per capita,,,,domestic material consumption (dmc),14.5
2022,tonnes per capita,,,,domestic material consumption (dmc),13.8
2023,tonnes per capita,,,,domestic material consumption (dmc),12.3
2024,tonnes per capita,,,,domestic material consumption (dmc),11.8
2010,2020 = 100,,,,domestic material consumption per real gdp,118.8
2011,2020 = 100,,,,domestic material consumption per real gdp,122.2
2012,2020 = 100,,,,domestic material consumption per real gdp,117.4
2013,2020 = 100,,,,domestic material consumption per real gdp,117.0
2014,2020 = 100,,,,domestic material consumption per real gdp,116.6
2015,2020 = 100,,,,domestic material consumption per real gdp,111.0
2016,2020 = 100,,,,domestic material consumption per real gdp,110.0
2017,2020 = 100,,,,domestic material consumption per real gdp,108.2
2018,2020 = 100,,,,domestic material consumption per real gdp,103.0
2019,2020 = 100,,,,domestic material consumption per real gdp,98.7
2020,2020 = 100,,,,domestic material consumption per real gdp,100.0
2021,2020 = 100,,,,domestic material consumption per real gdp,98.8
2022,2020 = 100,p,,,domestic material consumption per real gdp,93.2
2023,2020 = 100,p,,,domestic material consumption per real gdp,84.5
2024,2020 = 100,p,,,domestic material consumption per real gdp,81.5
