Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,0.198
2011,,,,0.21
2012,,,,0.216
2013,,,,0.203
2014,r,,,0.21
2015,r,,,0.187
2016,r,,,0.082
2017,,,,0.08
2018,r,,,0.074
2019,r,,,0.084
2020,r,,,0.087
2021,r,,,0.072
2022,r,,,0.195
2023,r,,,0.25
2024,,,,0.416
2025,,,,0.392
