Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,12.2
2011,r,,,12.5
2012,r,,,12.4
2013,r,,,12.3
2014,r,,,12.2
2015,r,,,12.0
2016,r,,,12.0
2017,r,,,11.9
2018,,,,11.9
2019,,,,11.5
2020,,,,11.2
2021,,,,11.1
2022,r,,,11.4
2023,r,,,10.9
2024,r,,,10.5
