Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,.,,,
2016,.,,,
2017,.,,,
2018,,,,4.0
2019,.,,,
2020,,,,4.0
2021,.,,,
2022,,,,4.0
2023,.,,,
2024,,,,5.0
