Year,timeseries,Value
2010,key biodiversity areas (kbas) covered by protected areas (%),69
2011,key biodiversity areas (kbas) covered by protected areas (%),69
2012,key biodiversity areas (kbas) covered by protected areas (%),69
2013,key biodiversity areas (kbas) covered by protected areas (%),69
2014,key biodiversity areas (kbas) covered by protected areas (%),69
2015,key biodiversity areas (kbas) covered by protected areas (%),69
2016,key biodiversity areas (kbas) covered by protected areas (%),69
2017,key biodiversity areas (kbas) covered by protected areas (%),69
2018,key biodiversity areas (kbas) covered by protected areas (%),69
2019,key biodiversity areas (kbas) covered by protected areas (%),70
2020,key biodiversity areas (kbas) covered by protected areas (%),70
2010,protected terrestrial areas (%),34
2011,protected terrestrial areas (%),34
2012,protected terrestrial areas (%),35
2013,protected terrestrial areas (%),35
2014,protected terrestrial areas (%),35
2015,protected terrestrial areas (%),35
2016,protected terrestrial areas (%),36
2017,protected terrestrial areas (%),36
2018,protected terrestrial areas (%),37
2019,protected terrestrial areas (%),37
2020,protected terrestrial areas (%),37
