Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,,,,93.1
2016,.,,,
2017,,,,94.7
2018,.,,,
2019,,,,97.0
2020,.,,,
2021,,,,96.9
2022,.,,,
2023,,,,95.7
