Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,4.4
2011,,,,3.8
2012,r,,,0.4
2013,r,,,0.3
2014,,,,1.9
2015,r,,,1.0
2016,,,,1.6
2017,r,,,2.7
2018,r,,,1.1
2019,r,,,1.0
2020,r,,,-3.9
2021,,,,4.1
2022,,,,1.2
2023,p,,,-1.9
2024,p,,,-0.3
2025,p,,,0.2
