Year,timeseries,sex,Value
2014-2017,overweight among children under the age of 5 years (%),,3.2
2014-2017,overweight among children under the age of 5 years (%),female,0.7
2014-2017,overweight among children under the age of 5 years (%),male,5.9
2014-2017,wasting among children under the age of 5 years (%),,0.3
2014-2017,wasting among children under the age of 5 years (%),female,0.7
