Year,activities,age,Value
2011,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2012,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2013,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2014,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2015,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,35.0
2016,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,34.0
2017,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,36.0
2018,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2019,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,34.0
2010,copied or moved a file and folder,25 to under 65 years,
2011,copied or moved a file and folder,25 to under 65 years,76.0
2012,copied or moved a file and folder,25 to under 65 years,71.0
2013,copied or moved a file and folder,25 to under 65 years,
2014,copied or moved a file and folder,25 to under 65 years,80.0
2015,copied or moved a file and folder,25 to under 65 years,72.0
2016,copied or moved a file and folder,25 to under 65 years,72.0
2017,copied or moved a file and folder,25 to under 65 years,73.0
2018,copied or moved a file and folder,25 to under 65 years,
2019,copied or moved a file and folder,25 to under 65 years,75.0
2010,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2011,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,74.0
2012,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,69.0
2013,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2014,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,77.0
2015,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2016,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2017,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2018,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2019,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2010,written code in a programming language,25 to under 65 years,
2011,written code in a programming language,25 to under 65 years,
2012,written code in a programming language,25 to under 65 years,
2013,written code in a programming language,25 to under 65 years,
2014,written code in a programming language,25 to under 65 years,
2015,written code in a programming language,25 to under 65 years,6.0
2016,written code in a programming language,25 to under 65 years,5.0
2017,written code in a programming language,25 to under 65 years,5.0
2018,written code in a programming language,25 to under 65 years,
2019,written code in a programming language,25 to under 65 years,5.0
2010,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2011,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,47.0
2012,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,48.0
2013,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2014,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,53.0
2015,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2016,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2017,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2018,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2019,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2010,transferred files between computer and other devices,25 to under 65 years,
2011,transferred files between computer and other devices,25 to under 65 years,63.0
2012,transferred files between computer and other devices,25 to under 65 years,61.0
2013,transferred files between computer and other devices,25 to under 65 years,
2014,transferred files between computer and other devices,25 to under 65 years,68.0
2015,transferred files between computer and other devices,25 to under 65 years,63.0
2016,transferred files between computer and other devices,25 to under 65 years,65.0
2017,transferred files between computer and other devices,25 to under 65 years,66.0
2018,transferred files between computer and other devices,25 to under 65 years,
2019,transferred files between computer and other devices,25 to under 65 years,69.0
2010,installed software or applications (apps),25 to under 65 years,
2011,installed software or applications (apps),25 to under 65 years,
2012,installed software or applications (apps),25 to under 65 years,
2013,installed software or applications (apps),25 to under 65 years,
2014,installed software or applications (apps),25 to under 65 years,
2015,installed software or applications (apps),25 to under 65 years,63.0
2016,installed software or applications (apps),25 to under 65 years,66.0
2017,installed software or applications (apps),25 to under 65 years,65.0
2018,installed software or applications (apps),25 to under 65 years,
2019,installed software or applications (apps),25 to under 65 years,72.0
2010,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2011,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,32.0
2012,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,30.0
2013,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2014,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,33.0
2015,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2016,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2017,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2018,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2019,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2010,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2011,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2012,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2013,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2014,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2015,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,35.0
2016,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,34.0
2017,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,37.0
2018,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2019,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,37.0
