Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,megajoule per eur,,,,5.4
2011,megajoule per eur,,,,4.9
2012,megajoule per eur,,,,4.9
2013,megajoule per eur,r,,,4.9
2014,megajoule per eur,,,,4.4
2015,megajoule per eur,,,,4.3
2016,megajoule per eur,,,,4.2
2017,megajoule per eur,,,,4.1
2018,megajoule per eur,,,,3.8
2019,megajoule per eur,,,,3.6
2020,megajoule per eur,r,,,3.5
2021,megajoule per eur,,,,3.4
2022,megajoule per eur,p,,,2.9
2023,megajoule per eur,p,,,2.5
2024,megajoule per eur,p,,,2.4
2010,2020 = 100,,,,132.9
2011,2020 = 100,r,,,122.5
2012,2020 = 100,,,,122.9
2013,2020 = 100,r,,,125.0
2014,2020 = 100,,,,116.4
2015,2020 = 100,,,,115.7
2016,2020 = 100,r,,,114.3
2017,2020 = 100,r,,,111.3
2018,2020 = 100,,,,107.4
2019,2020 = 100,,,,103.3
2020,2020 = 100,,,,100.0
2021,2020 = 100,,,,100.9
2022,2020 = 100,p,,,93.0
2023,2020 = 100,p,,,85.4
2024,2020 = 100,p,,,84.9
