Year,Zeitreihe,Value
2015,Übergewicht bei Kindern,
2016,Übergewicht bei Kindern,3.2
2017,Übergewicht bei Kindern,
2015,Untergewicht bei Kindern,
2016,Untergewicht bei Kindern,0.3
2017,Untergewicht bei Kindern,
