Year,Zeitreihe,Value
2010,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",70
2011,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",70
2012,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",70
2013,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",70
2014,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71
2015,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71
2016,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71
2017,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71
2018,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71
2019,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71
2010,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",35
2011,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",35
2012,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",35
2013,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",36
2014,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",36
2015,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",36
2016,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",37
2017,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",37
2018,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",38
2019,"Fläche der Land- und Süßwasserökosysteme , die unter Schutz steht",38
