Year,Zeitreihe,Value
2010,Nationale nachhaltige Entwicklungsstrategie,1
2011,Nationale nachhaltige Entwicklungsstrategie,1
2012,Nationale nachhaltige Entwicklungsstrategie,1
2013,Nationale nachhaltige Entwicklungsstrategie,1
2014,Nationale nachhaltige Entwicklungsstrategie,1
2015,Nationale nachhaltige Entwicklungsstrategie,1
2016,Nationale nachhaltige Entwicklungsstrategie,1
2017,Nationale nachhaltige Entwicklungsstrategie,1
2018,Nationale nachhaltige Entwicklungsstrategie,1
