Year,Zeitreihe,Value
2010,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2011,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2012,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2013,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2014,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2015,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2016,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2017,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2018,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2019,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",89
2010,"Meeresfläche, die unter Schutz steht",45
2011,"Meeresfläche, die unter Schutz steht",45
2012,"Meeresfläche, die unter Schutz steht",45
2013,"Meeresfläche, die unter Schutz steht",45
2014,"Meeresfläche, die unter Schutz steht",45
2015,"Meeresfläche, die unter Schutz steht",45
2016,"Meeresfläche, die unter Schutz steht",45
2017,"Meeresfläche, die unter Schutz steht",45
2018,"Meeresfläche, die unter Schutz steht",45
2019,"Meeresfläche, die unter Schutz steht",45
