Year,Zeitreihe,Value
2015,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war",93.1
2017,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war",94.7
2019,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war",97.0
