Year,Zeitreihe,Value
2010,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2011,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2012,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2013,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2014,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2015,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2016,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2017,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
2018,"Kinder unter 5 Jahren, deren Geburt von einer Zivilbehörde registriert worden ist",100
