Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,‒,,,0.0
2015,‒,,,0.0
2016,‒,,,0.0
2017,‒,,,0.0
2018,,,,5.0
2019,,,,2.0
2020,‒,,,0.0
2021,,,,4.0
2022,,,,3.0
2023,,,,3.0
