Year,Zeitreihe,Value
2010,Neugeborenensterblichkeit,2.3
2011,Neugeborenensterblichkeit,2.4
2012,Neugeborenensterblichkeit,2.2
2013,Neugeborenensterblichkeit,2.2
2014,Neugeborenensterblichkeit,2.2
2015,Neugeborenensterblichkeit,2.3
2016,Neugeborenensterblichkeit,2.4
2017,Neugeborenensterblichkeit,2.3
