Year,Zeitreihe,Value
2010,Mitgliedschaft GANHRI (Kategorie A),1
2011,Mitgliedschaft GANHRI (Kategorie A),1
2012,Mitgliedschaft GANHRI (Kategorie A),1
2013,Mitgliedschaft GANHRI (Kategorie A),1
2014,Mitgliedschaft GANHRI (Kategorie A),1
2015,Mitgliedschaft GANHRI (Kategorie A),1
2016,Mitgliedschaft GANHRI (Kategorie A),1
2017,Mitgliedschaft GANHRI (Kategorie A),1
2018,Mitgliedschaft GANHRI (Kategorie A),1
