Year,Zeitreihe,Value
2010,Anteil des Arbeitnehmerentgelts am BIP,50.5
2011,Anteil des Arbeitnehmerentgelts am BIP,50.2
2012,Anteil des Arbeitnehmerentgelts am BIP,51.2
2013,Anteil des Arbeitnehmerentgelts am BIP,51.5
2014,Anteil des Arbeitnehmerentgelts am BIP,51.4
2015,Anteil des Arbeitnehmerentgelts am BIP,51.7
2016,Anteil des Arbeitnehmerentgelts am BIP,51.8
2017,Anteil des Arbeitnehmerentgelts am BIP,52.0
2018,Anteil des Arbeitnehmerentgelts am BIP,52.8
2019,Anteil des Arbeitnehmerentgelts am BIP,53.5
