Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,0.57
2011,,,,0.49
2012,,,,0.5
2013,,,,0.47
2014,,,,0.51
2015,,,,0.6
2016,,,,0.57
2017,,,,0.49
2018,,,,0.58
2019,,,,0.5
2020,,,,0.46
2021,p,,,0.45
2022,p,,,0.33
2023,p,,,0.51
2024,p,,,0.52
