Year,Zeitreihe,Value
2010,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,8.9
2011,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,9.0
2012,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,8.2
2013,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,8.3
2014,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,7.8
2015,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,7.3
2016,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,7.0
2017,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe,6.8
